cut,epithet,tone,note
,bold,Heroic,
,brave,Heroic,
,wise,Heroic,
,great,Heroic,
,just,Heroic,
,mighty,Heroic,
,swift,Heroic,
,clever,Heroic,
,noble,Heroic,
,steady,Heroic,
,fearless,Heroic,
,patient,Heroic,
,cunning,Heroic,
,radiant,Heroic,
,valiant,Heroic,
,stalwart,Heroic,
,learned,Heroic,
,gallant,Heroic,
,dauntless,Heroic,
,resolute,Heroic,
,vigilant,Heroic,
,tireless,Heroic,
,undaunted,Heroic,
,keen,Heroic,
,shrewd,Heroic,
,ironclad,Heroic,
,unshaken,Heroic,
,relentless,Heroic,
,daring,Heroic,
,stoic,Heroic,
,thoughtful,Heroic,
,curious,Heroic,
,watchful,Heroic,
,careful,Heroic,
,honest,Heroic,
,loyal,Heroic,
,humble,Heroic,
,generous,Heroic,
,gracious,Heroic,
,merciful,Heroic,
,fierce,Heroic,
,storied,Heroic,
,legendary,Heroic,
,eternal,Heroic,
,golden,Heroic,
,silver,Heroic,
,bronze,Heroic,
,iron,Heroic,
,crimson,Heroic,
,azure,Heroic,
,towering,Grand,
,thundering,Grand,
,blazing,Grand,
,gleaming,Grand,
,roaring,Grand,
,soaring,Grand,
,shining,Grand,
,burning,Grand,
,glittering,Grand,
,howling,Grand,
,whispering,Grand,
,wandering,Grand,
,dreaming,Grand,
,seeking,Grand,
,striving,Grand,
,rising,Grand,
,enduring,Grand,
,unyielding,Grand,
,unbroken,Grand,
,undying,Grand,
,timeless,Grand,
,ancient,Grand,
,distant,Grand,
,hidden,Grand,
,secret,Grand,
,silent,Grand,
,quiet,Grand,
,solemn,Grand,
,somber,Grand,
,,,
,lofty,Grand,
,fabled,Grand,
,mythic,Grand,
,epic,Grand,
,vast,Grand,
,boundless,Grand,
,endless,Grand,
,ceaseless,Grand,
,restless,Grand,
,sleepless,Grand,
,brooding,Grand,
,pondering,Grand,
,musing,Grand,
,scheming,Grand,
,plotting,Grand,
,calculating,Grand,
,measuring,Grand,
,weathered,Grand,
,windswept,Grand,
,farsighted,Grand,
,dashing,Charming,
,dapper,Charming,
,jolly,Charming,
,breezy,Charming,
,cheerful,Charming,
,sunny,Charming,
,chipper,Charming,
,sprightly,Charming,
,nimble,Charming,
,spry,Charming,
,jaunty,Charming,
,chatty,Charming,
,cheery,Charming,
,merry,Charming,
,giddy,Charming,
,peppy,Charming,
,zippy,Charming,
,snappy,Charming,
,bouncy,Charming,
,bubbly,Charming,
,giggly,Charming,
,sparkly,Charming,
,twinkly,Charming,
,shiny,Charming,
,glossy,Charming,
,tidy,Charming,
,,,
,spiffy,Charming,
,polished,Charming,
,plucky,Charming,
,scrappy,Charming,
,spunky,Charming,
,gutsy,Charming,
,feisty,Charming,
,saucy,Charming,Check tone for middle school
,,,
,sassy,Charming,Check tone for middle school
,witty,Charming,
,quippy,Charming,
,,,
,doodler,Charming,
,scribbler,Charming,
,,,
,whistler,Charming,
,signer,Charming,
,dancer,Charming,
,skipper,Charming,
,hopper,Charming,
,,,
,ambling,Charming,
,orange,Silly,
,smelly,Silly,Body-based — could sting if assigned to a real kid
,wobbly,Silly,
,squeaky,Silly,
,crunchy,Silly,
,lumpy,Silly,Body-shape adjacent — recommend cut
,soggy,Silly,
,sticky,Silly,
,slippery,Silly,
,wiggly,Silly,
,fuzzy,Silly,
,crispy,Silly,
,chewy,Silly,
,,,
,salty,Silly,
,sour,Silly,
,spicy,Silly,
,snoozy,Silly,
,clumsy,Silly,Mildly negative
,goofy,Silly,Mildly negative
,silly,Silly,Mildly negative
,wonky,Silly,
,dizzy,Silly,Mildly negative
,itchy,Silly,Body-based
,sneezy,Silly,Body-based
,,,
,mumbly,Silly,
,squishy,Silly,Body-shape adjacent — recommend cut
,crumbly,Silly,
,,,
,tangy,Silly,
,minty,Silly,
,cheesy,Silly,
,buttery,Silly,
,,,
,syrupy,Silly,
,fizzy,Silly,
,,,
,gurgling,Silly,
,snorter,Silly,Body-based
,yawner,Silly,Body-based
,,,
,waddler,Silly,Body-shape adjacent — recommend cut
,,,
,bumbling,Silly,Mildly negative
,fumbling,Silly,Mildly negative
,tumbling,Silly,
,stumbling,Silly,Mildly negative
,rumbling,Silly,
