cut,figure,category,note
,lucy,Prehistory & Mesopotamia,
,otzi,Prehistory & Mesopotamia,
,gilgamesh,Prehistory & Mesopotamia,
,enkidu,Prehistory & Mesopotamia,
,hammurabi,Prehistory & Mesopotamia,
,sargon,Prehistory & Mesopotamia,
,naramsin,Prehistory & Mesopotamia,
,nebuchadnezzar,Prehistory & Mesopotamia,
,,,
,,,
,ashur,Prehistory & Mesopotamia,
,narmer,Egypt,
,khufu,Egypt,
,djoser,Egypt,
,imhotep,Egypt,
,hatshepsut,Egypt,
,thutmose,Egypt,
,akhenaten,Egypt,Religious reformer — mild
,nefertiti,Egypt,
,tutankhamun,Egypt,
,ramses,Egypt,
,cleopatra,Egypt,
,ptolemy,Egypt,
,seti,Egypt,
,amenhotep,Egypt,
,sneferu,Egypt,
,menkaure,Egypt,
,khafre,Egypt,
,merneith,Egypt,
,ahmose,Egypt,
,nefertari,Egypt,
,,,
,piye,Kush & Africa,
,,,
,shabaka,Kush & Africa,
,kashta,Kush & Africa,
,tunkamanin,,
,askia,,
,sunniali,,
,,,
,,,
,,,
,mansamusa,Kush & Africa,
,sundiata,Kush & Africa,
,,,
,ezana,Kush & Africa,
,cyrus,Persia,
,darius,Persia,
,xerxes,Persia,
,,,
,,,
,,,
,,,
,,,
,,,
,ashoka,India,Buddhist patron — mild
,chandragupta,India,
,,,
,,,
,,,
,,,
,,,
,,,
,brahmagupta,India,
,,,
,,,
,,,
,shikibu,,
,shihuangdi,China & East Asia,Long — check display width
,wuding,China & East Asia,
,shotoku,,
,liubang,China & East Asia,
,wuzetian,China & East Asia,
,simaqian,China & East Asia,
,zhangqian,China & East Asia,
,sunzi,China & East Asia,
,,,
,hanwudi,China & East Asia,
,caocao,China & East Asia,
,zhenghe,China & East Asia,
,,,
,,,
,,,
,,,
,murasaki,China & East Asia,
,,,
,,,
,tokugawa,China & East Asia,
,hideyoshi,China & East Asia,
,sejong,China & East Asia,
,pericles,Greece,
,socrates,Greece,
,plato,Greece,
,aristotle,Greece,
,alexander,Greece,
,leonidas,Greece,
,,,
,solon,Greece,
,cleisthenes,Greece,
,herodotus,Greece,
,thucydides,Greece,
,homer,Greece,
,sappho,Greece,
,pythagoras,Greece,
,euclid,Greece,
,archimedes,Greece,
,hippocrates,Greece,
,,,
,sophocles,Greece,
,euripides,Greece,
,aristophanes,Greece,
,diogenes,Greece,
,epicurus,Greece,
,hypatia,Greece,Killed by religious mob — review
,draco,Greece,
,cervantes,,
,praxiteles,Greece,
,aspasia,Greece,
,xenophon,Greece,
,democritus,Greece,
,thales,Greece,
,dante,,
,machiavelli,,
,hipparchus,Greece,
,remus,Rome,
,romulus,Rome,
,julius,rome,
,caesar,Rome,
,augustus,Rome,
,cicero,Rome,
,virgil,Rome,
,ovid,Rome,
,horace,Rome,
,livy,Rome,
,tacitus,Rome,
,seneca,Rome,
,marcusaurelius,Rome,Long — check display width
,hadrian,Rome,
,trajan,Rome,
,diocletian,Rome,
,durer,,
,joan,,
,claudius,Rome,
,vespasian,Rome,
,titus,Rome,
,scipio,Rome,
,hannibal,Rome,
,spartacus,Rome,Enslaved person — check tone
,cato,Rome,
,brutus,Rome,
,pompey,Rome,
,crassus,Rome,
,sulla,Rome,
,richard,,
,aquinas,,
,livia,Rome,
,boudica,Rome,
,constantine,rome,
,charlemagne,Medieval & Islamic Golden Age,Crowned by Pope — mild
,alfred,Medieval & Islamic Golden Age,'the Great' already an epithet
,justinian,Medieval & Islamic Golden Age,Christian emperor — mild
,theodora,Medieval & Islamic Golden Age,Christian empress — mild
,belisarius,Medieval & Islamic Golden Age,
,benendict,,
,isabella,,
,ibnsina,Medieval & Islamic Golden Age,
,ibnbattuta,Medieval & Islamic Golden Age,
,eleanor,,
,averroes,Medieval & Islamic Golden Age,
,alhazen,Medieval & Islamic Golden Age,
,albiruni,Medieval & Islamic Golden Age,
,saladin,Medieval & Islamic Golden Age,Islamic hero figure — review
,genghis,Medieval & Islamic Golden Age,Conqueror — check tone
,kublai,Medieval & Islamic Golden Age,
,marcopolo,Medieval & Islamic Golden Age,
,eleanor,Medieval & Islamic Golden Age,
,gutenberg,Renaissance & Exploration,
,leonardo,Renaissance & Exploration,
,michelangelo,Renaissance & Exploration,
,raphael,Renaissance & Exploration,
,donatello,Renaissance & Exploration,
,botticelli,Renaissance & Exploration,
,machiavelli,Renaissance & Exploration,
,medici,Renaissance & Exploration,
,magellan,Renaissance & Exploration,
,vascodagama,Renaissance & Exploration,
,erasmus,Renaissance & Exploration,Christian humanist — mild
,thomasmore,Renaissance & Exploration,Catholic saint — review
,shakespeare,Renaissance & Exploration,
,cervantes,Renaissance & Exploration,
,dante,Renaissance & Exploration,Divine Comedy — mild religious tie
,petrarch,Renaissance & Exploration,
,copernicus,Scientific Revolution & Enlightenment,
,galileo,Scientific Revolution & Enlightenment,
,kepler,Scientific Revolution & Enlightenment,
,brahe,Scientific Revolution & Enlightenment,
,newton,Scientific Revolution & Enlightenment,
,descartes,Scientific Revolution & Enlightenment,
,pascal,Scientific Revolution & Enlightenment,
,swift,Scientific Revolution & Enlightenment,
,spinoza,Scientific Revolution & Enlightenment,
,hobbes,Scientific Revolution & Enlightenment,
,locke,Scientific Revolution & Enlightenment,
,rousseau,Scientific Revolution & Enlightenment,
,voltaire,Scientific Revolution & Enlightenment,
,montesquieu,Scientific Revolution & Enlightenment,
,diderot,Scientific Revolution & Enlightenment,
,hume,Scientific Revolution & Enlightenment,
,adamsmith,Scientific Revolution & Enlightenment,
